company;location;title;description
King;Stockholm, Sweden;Integration Engineering Manager;We are seeking an Engineering Manager specialising in customer facing software development roles, for our Ads Integration team, working on cutting edge mobile advertising technologies to accelerate adoption of our next generation Advertising Platform.
Pulsara;Bozeman, MT;Senior Software Engineer - Android;Want to apply your software engineering skills to do something truly meaningful? Do you want to use modern mobile, web, and cloud technology to help revolutionize healthcare? At Pulsara, your work will make a difference in the lives of real people : clinicians, medics, first responders, and the patients they serve. 
Direct Supply, Inc.;Durham, North Carolina ;Software Engineer;At Direct Supply we are passionate about making lives better, whether it's creating world-class applications that improve the lives of residents in senior living communities, or contributing on a team that delivers outstanding results while having a blast together. You'll be part of a team with a purpose.Our TELS teams are responsible for developing scalable systems which benefit facility management. Our platform connects our customers with the service providers that keep their buildings running smoothly in top shape
Pace Scheduler;Chicago, IL;Senior Python/Django Engineer;We are a software team of 5 people focused on a rapidly growing product called Pace Scheduler. We built this product in-house and it is currently going through a period of rapid adoption across the country. The team you would be a part of has been around for 5 years. We are based in Naperville, IL, but some employees live elsewhere and work remotely. We are part of a larger parent company, Pace Systems, which has been around since 1983. Pace Systems employs 120 people and deals in IT, Software, Security, Audio Visual, and other disciplines.
InnoGames GmbH;Hamburg;Unity Software Developer - Core;As a UnitySoftware Developer for our Core team, you work closely with our game teams to shape the foundation of our next big hits and contribute as a productive member of an agile development team in all phases of the development lifecycle. Become the champion for best practices for all of our game frontend developers Your mission: Strengthen our infrastructural Core team which is responsible to create and guide best practices for our games, focusing on the development of mobile apps based on C# and Unity3D. Concept libraries, APIs, tools, and workflows to optimize the interdisciplinary work of our teams. Continuously refine and optimize our existing mobile apps. Ensure a high product quality by using automated tests
Avochato;San Francisco;Full Stack Developer;Avochato is an enterprise mobile messaging company based in San Francisco, California. Consumers prefer to communicate with messaging platforms, but businesses are built for email. Avochato upgrades enterprises to messaging. Join us in developing a product that users love. As a Full Stack Developer you will collaborate closely with other members of the Product and Engineering teams to make new experiences come to life while addressing scalability and usability concerns on an iterative basis. 
Chatterbug;Berlin;Senior React Developer;We believe that design and usability are the foundation of an excellent product experience. Our small Product/Design and Engineering teams work together very closely all the way from concept to final implementation. We use an iterative process, release often, and stay open to feedback As we are starting on some major product improvements, we are looking to add an experienced React developer to join our team in order to expand the scope of what's possible with Chatterbug. Our web and mobile app are written in React and React-Native respectively and we work on both.
Favor Delivery;Austin;Android Engineer;We are a mobile-first on demand delivery marketplace that prioritizes making our customers happy. As an Android Engineer you will be responsible for all phases of development, testing, and release of our Android Consumer and Runner apps. You will work closely with our product and operations teams to understand customer needs, build simple solutions to complex problems, and deliver delightful experiences to all our users. At Favor, we are committed to building a world class team that shares a passion for modern, clean code and products that make a difference.
Mindhive;Brisbane CBD Australia;Senior Front End and Backend Developers;The Company's core product is Mindhive - a cloud-based platform where organisational users (who pay) bring challenges to be solved by a growing community of high-quality individual users (non-paying) with a broad range of professional backgrounds and experiences. The model enables organisational users to gather, share and evaluate ideas efficiently and effectively, and gain access to diverse approaches to solving difficult problems. The existing model requires curation and input by administrators and does not take full advantage of the rich data available
MojoTech;Boulder, CO;Software Architect;Whether Back-End, Front-End, Full-Stack, Dev-Ops, or Mobile, a big part of what makes being a member of the engineering team at MojoTech so rewarding is the challenge. The job starts hard, and will only get harder. If you believe in constant improvement, and want to join a team that helps one another achieve that goal, please continue reading. Software Architects at MojoTech have the ability and autonomy to solve complex problems and deliver quality solutions as part of a team. With confidence in their own decisions and the quality of their work, they remain open to discussing better ways to solve problems and deliver features. They are comfortable communicating and collaborating with designers, product managers, and clients
Snapfish;Fort Collins;Android Application Software Engineer;We are looking for a well-rounded Android engineer to join our team and help build an experience that allow millions of customers every day to share & transform their cherished photographs into products. The candidate must have a deep interest in Java & Android development, a solid theoretical foundation in computer science, a broad knowledge of algorithms, data structures & concurrency. The successful candidate will advance our Android expertise by designing, implementing and testing mobile applications for the online photo merchandising market
